2, 28-02-2021 18:39:58, GPU temperature     ,GPU usage           ,FB usage            ,VID usage           ,BUS usage           ,Memory usage        ,Core clock          ,Memory clock        ,Power               ,Fan speed           ,Fan speed 2         ,Fan tachometer      ,Fan tachometer 2    ,Temp limit          ,Power limit         ,Voltage limit       ,No load limit       ,CPU1 temperature    ,CPU2 temperature    ,CPU3 temperature    ,CPU4 temperature    ,CPU5 temperature    ,CPU6 temperature    ,CPU7 temperature    ,CPU8 temperature    ,CPU9 temperature    ,CPU10 temperature   ,CPU11 temperature   ,CPU12 temperature   ,CPU13 temperature   ,CPU14 temperature   ,CPU15 temperature   ,CPU16 temperature   ,CPU17 temperature   ,CPU18 temperature   ,CPU19 temperature   ,CPU20 temperature   ,CPU temperature     ,CPU1 usage          ,CPU2 usage          ,CPU3 usage          ,CPU4 usage          ,CPU5 usage          ,CPU6 usage          ,CPU7 usage          ,CPU8 usage          ,CPU9 usage          ,CPU10 usage         ,CPU11 usage         ,CPU12 usage         ,CPU13 usage         ,CPU14 usage         ,CPU15 usage         ,CPU16 usage         ,CPU17 usage         ,CPU18 usage         ,CPU19 usage         ,CPU20 usage         ,CPU usage           ,RAM usage           ,Framerate           ,Frametime           ,Framerate Min       ,Framerate Avg       ,Framerate Max       ,Framerate 1% Low    ,Framerate 0.1% Low  
80, 28-02-2021 18:40:19,67,99,37,0,6,7364.891,1905,7000.983,100,78,78,2056,2061,0,1,0,0,53,53,54,54,54,54,57,57,54,54,53,53,59,59,53,53,54,54,52,52,57,42.893,25.444,36.548,30.203,31.789,25.444,28.617,25.444,25.444,33.376,6.409,76.206,38.135,14.34,42.893,22.272,31.789,25.444,36.548,12.754,30.6,15903,134.8,10.454,N/A                 ,N/A                 ,N/A                 ,N/A                 ,N/A                 
80, 28-02-2021 18:40:20,67,99,37,0,6,7364.891,1905,7000.983,101,78,78,2056,2062,0,1,0,0,55,55,53,53,55,55,58,58,52,52,62,63,53,53,55,55,51,51,58,58,63,43.75,25,25,23.438,28.125,15.625,39.063,20.313,25,28.125,14.063,65.625,37.5,12.5,50,15.625,23.438,14.063,32.813,6.25,27.266,15903,133.6,8.962,N/A                 ,N/A                 ,N/A                 ,N/A                 ,N/A                 
80, 28-02-2021 18:40:21,67,99,38,0,6,7364.891,1905,7000.983,100,78,78,2057,2054,0,1,0,0,53,53,54,54,57,57,59,59,53,53,54,54,58,58,57,57,49,49,55,55,58,40.625,25,34.375,25,21.875,15.625,23.438,18.75,20.313,21.875,7.813,84.375,37.5,17.188,39.063,7.813,25,17.188,34.375,12.5,26.484,15907,131.6,9.577,N/A                 ,N/A                 ,N/A                 ,N/A                 ,N/A                 
80, 28-02-2021 18:40:22,67,99,38,0,6,7364.891,1905,7000.983,100,78,78,2059,2053,0,1,0,0,52,52,51,51,51,51,57,57,52,52,62,63,59,59,52,52,49,49,55,55,63,56.25,18.75,37.5,26.563,23.438,26.563,29.688,32.813,26.563,25,7.813,78.125,46.875,20.313,42.188,18.75,40.625,7.813,40.625,15.625,31.094,15900,131.9,9.281,N/A                 ,N/A                 ,N/A                 ,N/A                 ,N/A                 
80, 28-02-2021 18:40:23,67,99,38,0,6,7364.891,1920,7000.983,92,78,78,2056,2056,0,1,0,0,55,55,50,50,53,53,54,54,54,54,59,59,61,61,55,55,57,57,57,57,62,40.625,42.188,39.063,31.25,29.688,26.563,37.5,17.188,34.375,31.25,12.5,81.25,57.813,14.063,45.313,12.5,43.75,25,43.75,14.063,33.984,15906,133.9,9.01,N/A                 ,N/A                 ,N/A                 ,N/A                 ,N/A                 
80, 28-02-2021 18:40:24,67,99,39,0,6,7361.703,1905,7000.983,97,78,78,2057,2058,0,1,0,0,54,54,51,51,52,52,55,55,54,54,61,61,54,54,58,58,51,51,56,56,62,46.875,31.25,35.938,26.563,25,29.688,34.375,28.125,34.375,29.688,12.5,89.063,67.188,15.625,39.063,14.063,40.625,20.313,37.5,29.688,34.375,15910,139.6,8.568,N/A                 ,N/A                 ,N/A                 ,N/A                 ,N/A                 
80, 28-02-2021 18:40:25,67,99,39,0,5,7361.703,1905,7000.983,99,78,78,2055,2062,0,1,0,0,55,55,52,52,59,59,56,56,53,53,54,54,61,61,53,53,56,56,61,61,62,59.375,32.813,35.938,35.938,29.688,23.438,23.438,26.563,21.875,20.313,14.063,79.688,50,12.5,42.188,12.5,39.063,20.313,31.25,20.313,31.563,15915,139.6,8.994,N/A                 ,N/A                 ,N/A                 ,N/A                 ,N/A                 
80, 28-02-2021 18:40:26,67,99,38,0,5,7361.703,1905,7000.983,98,78,78,2061,2057,0,1,0,0,54,54,50,50,59,59,56,56,52,52,62,62,55,55,55,55,51,51,55,55,62,37.5,34.375,35.938,20.313,25,28.125,23.438,18.75,20.313,37.5,15.625,79.688,43.75,20.313,37.5,18.75,35.938,9.375,29.688,12.5,29.219,15909,137.5,8.923,N/A                 ,N/A                 ,N/A                 ,N/A                 ,N/A                 
80, 28-02-2021 18:40:27,67,99,38,0,5,7361.703,1905,7000.983,100,78,78,2061,2059,0,1,0,0,52,52,52,52,51,51,52,52,53,53,63,63,57,57,53,53,51,51,56,56,63,44.581,35.345,27.648,30.727,30.727,30.727,26.108,32.266,21.49,35.345,18.411,73.83,46.121,13.793,49.2,12.254,43.042,26.108,38.424,29.187,33.267,15912,137.6,8.598,N/A                 ,N/A                 ,N/A                 ,N/A                 ,N/A                 
80, 28-02-2021 18:40:28,67,99,38,0,5,7361.703,1905,7000.983,98,78,78,2060,2060,0,1,0,0,53,53,55,55,51,51,52,52,53,53,59,59,57,57,54,54,59,59,52,52,59,56.25,20.313,37.5,25,18.75,21.875,31.25,15.625,23.438,25,9.375,84.375,37.5,10.938,37.5,4.688,29.688,21.875,26.563,18.75,27.813,15910,138.5,8.676,N/A                 ,N/A                 ,N/A                 ,N/A                 ,N/A                 
80, 28-02-2021 18:40:29,67,99,38,0,5,7361.703,1905,7000.983,100,78,78,2063,2061,0,1,0,0,54,54,53,53,57,57,52,52,53,53,60,60,52,52,53,53,51,51,51,51,60,54.688,26.563,37.5,21.875,23.438,15.625,39.063,25,28.125,26.563,7.813,82.813,53.125,10.938,39.063,17.188,31.25,10.938,37.5,17.188,30.313,15901,137.4,9.322,N/A                 ,N/A                 ,N/A                 ,N/A                 ,N/A                 
80, 28-02-2021 18:40:30,67,99,38,0,5,7361.703,1905,7000.983,99,78,78,2064,2062,0,1,0,0,55,55,57,57,52,52,55,55,54,54,56,56,59,59,53,53,51,51,56,56,59,44.48,20.685,19.099,22.272,25.444,23.438,21.875,20.313,31.25,20.313,7.813,76.563,42.188,7.813,37.5,10.938,28.125,20.313,25,18.75,26.208,15906,136.2,11.167,N/A                 ,N/A                 ,N/A                 ,N/A                 ,N/A                 
80, 28-02-2021 18:40:31,67,99,39,0,5,7361.703,1905,7000.983,101,78,78,2063,2061,0,1,0,0,53,53,55,55,52,52,55,55,51,51,59,62,52,52,53,53,50,50,52,52,62,34.375,23.438,31.25,14.063,29.688,19.099,25.444,12.754,30.203,23.858,14.34,80.964,41.307,7.995,41.307,7.995,28.125,9.375,26.563,12.5,25.732,15909,136.8,8.585,N/A                 ,N/A                 ,N/A                 ,N/A                 ,N/A                 
80, 28-02-2021 18:40:32,67,99,39,0,5,7361.703,1890,7000.983,98,78,78,2063,2064,0,1,0,0,58,58,50,50,55,55,53,53,52,52,63,63,52,52,53,53,50,50,52,52,63,46.121,21.49,29.187,29.187,24.569,33.805,24.569,24.569,35.345,30.727,9.175,83.067,43.042,3.017,41.502,12.254,35.938,23.438,34.375,10.938,29.816,15909,132.9,8.831,N/A                 ,N/A                 ,N/A                 ,N/A                 ,N/A                 
